pdbid,H_H,H_C,H_N,H_O,H_S,C_H,C_C,C_N,C_O,C_S,N_H,N_C,N_N,N_O,N_S,O_H,O_C,O_N,O_O,O_S,S_H,S_C,S_N,S_O,S_S,H_P,C_P,N_P,O_P,S_P,H_F,C_F,N_F,O_F,S_F,H_I,C_I,N_I,O_I,S_I
1a4r,2813.0,2244.0,1422.0,2292.0,0.0,1735.0,1388.0,880.0,1446.0,0.0,451.0,353.0,228.0,353.0,0.0,544.0,441.0,277.0,426.0,0.0,23.0,20.0,14.0,22.0,0.0,486.0,310.0,76.0,87.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a4w,8319.0,5700.0,1596.0,766.0,321.0,6100.0,4145.0,1136.0,537.0,226.0,1587.0,1084.0,309.0,132.0,64.0,1820.0,1244.0,345.0,158.0,72.0,125.0,90.0,25.0,13.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a69,3848.0,3209.0,1275.0,1614.0,0.0,2485.0,2084.0,804.0,1043.0,0.0,745.0,602.0,236.0,318.0,0.0,731.0,597.0,226.0,308.0,0.0,72.0,57.0,22.0,28.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a94,15844.0,9914.0,2451.0,2340.0,0.0,9605.0,6028.0,1478.0,1430.0,0.0,2677.0,1684.0,411.0,397.0,0.0,2838.0,1764.0,425.0,428.0,0.0,18.0,7.0,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a99,4394.0,1250.0,618.0,0.0,0.0,3285.0,938.0,467.0,0.0,0.0,753.0,215.0,108.0,0.0,0.0,935.0,272.0,134.0,0.0,0.0,23.0,7.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a9m,14058.0,7726.0,1838.0,1725.0,0.0,8718.0,4868.0,1148.0,1079.0,0.0,2493.0,1385.0,343.0,307.0,0.0,2464.0,1379.0,330.0,307.0,0.0,8.0,4.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1a9q,1289.0,1607.0,1287.0,315.0,0.0,845.0,1070.0,847.0,212.0,0.0,226.0,276.0,225.0,56.0,0.0,244.0,296.0,239.0,57.0,0.0,13.0,14.0,14.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1aaq,12224.0,7568.0,1328.0,1840.0,0.0,7454.0,4651.0,799.0,1118.0,0.0,2076.0,1295.0,226.0,302.0,0.0,2188.0,1361.0,243.0,329.0,0.0,12.0,3.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1add,4604.0,3658.0,1332.0,1305.0,0.0,3160.0,2517.0,925.0,908.0,0.0,810.0,670.0,255.0,217.0,0.0,813.0,665.0,270.0,215.0,0.0,54.0,47.0,19.0,16.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1adl,8875.0,5713.0,0.0,650.0,0.0,5613.0,3598.0,0.0,411.0,0.0,1567.0,1022.0,0.0,110.0,0.0,1701.0,1105.0,0.0,111.0,0.0,95.0,62.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ado,1243.0,789.0,0.0,1786.0,0.0,745.0,470.0,0.0,1067.0,0.0,239.0,148.0,0.0,322.0,0.0,265.0,153.0,0.0,339.0,0.0,3.0,1.0,0.0,5.0,0.0,319.0,189.0,57.0,59.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1afk,1673.0,1582.0,794.0,2185.0,0.0,1149.0,1104.0,557.0,1416.0,0.0,363.0,346.0,167.0,470.0,0.0,351.0,328.0,169.0,408.0,0.0,36.0,34.0,18.0,23.0,0.0,527.0,336.0,118.0,96.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1afl,1709.0,1578.0,789.0,2219.0,0.0,1166.0,1110.0,563.0,1463.0,0.0,367.0,347.0,167.0,469.0,0.0,360.0,329.0,173.0,422.0,0.0,33.0,34.0,18.0,30.0,0.0,529.0,357.0,113.0,99.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ai4,2068.0,2381.0,0.0,1173.0,0.0,1523.0,1738.0,0.0,862.0,0.0,370.0,423.0,0.0,213.0,0.0,436.0,501.0,0.0,249.0,0.0,12.0,11.0,0.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ai5,1746.0,2357.0,316.0,1170.0,0.0,1292.0,1731.0,227.0,851.0,0.0,304.0,421.0,58.0,217.0,0.0,369.0,494.0,69.0,248.0,0.0,8.0,11.0,3.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ai7,1901.0,1903.0,0.0,334.0,0.0,1396.0,1398.0,0.0,252.0,0.0,362.0,357.0,0.0,62.0,0.0,401.0,410.0,0.0,69.0,0.0,12.0,13.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1aid,6451.0,5572.0,227.0,241.0,508.0,3931.0,3471.0,144.0,149.0,308.0,1084.0,955.0,37.0,42.0,86.0,1170.0,1020.0,40.0,47.0,89.0,8.0,10.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,213.0,137.0,37.0,37.0,1.0,0.0,0.0,0.0,0.0,0.0
1aj7,2769.0,2819.0,329.0,1752.0,0.0,2063.0,2095.0,256.0,1310.0,0.0,531.0,541.0,64.0,325.0,0.0,530.0,519.0,57.0,326.0,0.0,11.0,13.0,3.0,10.0,0.0,254.0,190.0,49.0,48.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ajn,1739.0,2361.0,321.0,1181.0,0.0,1278.0,1743.0,241.0,872.0,0.0,306.0,424.0,57.0,216.0,0.0,369.0,499.0,66.0,250.0,0.0,8.0,11.0,2.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ajp,2107.0,2408.0,0.0,1148.0,0.0,1539.0,1769.0,0.0,839.0,0.0,377.0,433.0,0.0,204.0,0.0,448.0,508.0,0.0,241.0,0.0,13.0,12.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ajq,1575.0,1874.0,0.0,584.0,316.0,1142.0,1366.0,0.0,409.0,230.0,305.0,354.0,0.0,113.0,53.0,328.0,393.0,0.0,120.0,65.0,9.0,12.0,0.0,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ajv,10060.0,9454.0,630.0,1909.0,304.0,6130.0,5807.0,398.0,1183.0,194.0,1679.0,1632.0,116.0,322.0,55.0,1825.0,1719.0,122.0,353.0,63.0,4.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ajx,9894.0,9549.0,604.0,1558.0,0.0,6013.0,5909.0,379.0,970.0,0.0,1650.0,1640.0,114.0,257.0,0.0,1797.0,1781.0,123.0,282.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1alw,2126.0,2229.0,0.0,415.0,159.0,1411.0,1491.0,0.0,273.0,100.0,343.0,348.0,0.0,67.0,27.0,290.0,299.0,0.0,58.0,26.0,5.0,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1amk,641.0,636.0,0.0,1767.0,0.0,417.0,415.0,0.0,1154.0,0.0,109.0,113.0,0.0,315.0,0.0,124.0,128.0,0.0,344.0,0.0,2.0,2.0,0.0,6.0,0.0,290.0,188.0,49.0,50.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1amw,3212.0,2805.0,1546.0,2362.0,0.0,2078.0,1796.0,968.0,1514.0,0.0,502.0,453.0,250.0,374.0,0.0,622.0,545.0,294.0,450.0,0.0,15.0,11.0,5.0,13.0,0.0,470.0,297.0,68.0,92.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1apv,10223.0,5518.0,917.0,1397.0,0.0,7001.0,3782.0,634.0,963.0,0.0,1792.0,968.0,157.0,235.0,0.0,2629.0,1454.0,237.0,359.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,514.0,359.0,83.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0
1atl,4786.0,3743.0,208.0,950.0,198.0,3180.0,2499.0,136.0,635.0,131.0,898.0,712.0,41.0,181.0,39.0,983.0,756.0,48.0,193.0,39.0,39.0,36.0,1.0,11.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1atr,3238.0,2716.0,1325.0,2925.0,0.0,2052.0,1729.0,829.0,1837.0,0.0,614.0,508.0,243.0,532.0,0.0,706.0,586.0,269.0,665.0,0.0,13.0,10.0,5.0,14.0,0.0,593.0,375.0,108.0,137.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1avn,1984.0,1081.0,667.0,0.0,0.0,1364.0,734.0,478.0,0.0,0.0,346.0,196.0,122.0,0.0,0.0,305.0,167.0,106.0,0.0,0.0,5.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1ax0,2739.0,1469.0,175.0,1109.0,0.0,2044.0,1111.0,128.0,841.0,0.0,519.0,275.0,33.0,215.0,0.0,652.0,364.0,42.0,274.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1azm,1556.0,1058.0,1137.0,910.0,611.0,1186.0,798.0,856.0,687.0,458.0,335.0,235.0,246.0,196.0,131.0,297.0,203.0,219.0,175.0,116.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b05,10001.0,4526.0,1515.0,1206.0,294.0,7268.0,3310.0,1102.0,904.0,225.0,1952.0,861.0,288.0,232.0,59.0,2283.0,1019.0,350.0,270.0,65.0,75.0,31.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b0h,11679.0,7468.0,1501.0,1193.0,0.0,8590.0,5536.0,1103.0,894.0,0.0,2262.0,1445.0,286.0,232.0,0.0,2663.0,1685.0,345.0,268.0,0.0,88.0,59.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b1h,11608.0,6475.0,1497.0,1189.0,0.0,8471.0,4740.0,1086.0,890.0,0.0,2269.0,1261.0,290.0,234.0,0.0,2648.0,1472.0,346.0,267.0,0.0,83.0,43.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b2h,11735.0,5105.0,1804.0,1209.0,0.0,8573.0,3747.0,1318.0,909.0,0.0,2288.0,983.0,350.0,233.0,0.0,2658.0,1139.0,415.0,272.0,0.0,88.0,37.0,13.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b32,11174.0,5131.0,1517.0,1207.0,299.0,8150.0,3755.0,1110.0,903.0,227.0,2161.0,983.0,285.0,236.0,61.0,2559.0,1158.0,350.0,272.0,67.0,82.0,36.0,11.0,8.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b38,3415.0,2965.0,1573.0,3766.0,0.0,2184.0,1934.0,1022.0,2443.0,0.0,542.0,483.0,258.0,611.0,0.0,613.0,511.0,256.0,681.0,0.0,1.0,0.0,0.0,0.0,0.0,890.0,586.0,142.0,163.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b3f,10539.0,5403.0,2100.0,1194.0,0.0,7701.0,3968.0,1549.0,896.0,0.0,2036.0,1041.0,411.0,232.0,0.0,2422.0,1222.0,484.0,272.0,0.0,79.0,41.0,16.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b3g,11704.0,5392.0,1500.0,1191.0,0.0,8550.0,3949.0,1101.0,890.0,0.0,2284.0,1032.0,293.0,231.0,0.0,2683.0,1212.0,347.0,267.0,0.0,88.0,39.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b3h,12754.0,6191.0,1494.0,1194.0,0.0,9353.0,4577.0,1097.0,900.0,0.0,2498.0,1212.0,290.0,233.0,0.0,2928.0,1408.0,348.0,271.0,0.0,94.0,46.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b3l,9150.0,4116.0,1479.0,1175.0,0.0,6679.0,3008.0,1068.0,873.0,0.0,1770.0,787.0,282.0,232.0,0.0,2070.0,928.0,332.0,257.0,0.0,69.0,29.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b40,11154.0,6243.0,1505.0,1207.0,0.0,8149.0,4661.0,1118.0,904.0,0.0,2162.0,1221.0,290.0,234.0,0.0,2563.0,1422.0,351.0,273.0,0.0,81.0,46.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b46,10602.0,5116.0,1520.0,1209.0,0.0,7754.0,3751.0,1121.0,907.0,0.0,2039.0,973.0,283.0,232.0,0.0,2414.0,1152.0,348.0,269.0,0.0,79.0,36.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b4h,11202.0,4805.0,1814.0,1204.0,0.0,8155.0,3534.0,1331.0,897.0,0.0,2169.0,918.0,343.0,233.0,0.0,2544.0,1083.0,417.0,270.0,0.0,87.0,34.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b4z,9684.0,4835.0,1522.0,1795.0,0.0,7081.0,3550.0,1110.0,1349.0,0.0,1853.0,913.0,288.0,357.0,0.0,2216.0,1084.0,343.0,407.0,0.0,71.0,35.0,11.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b51,9897.0,4482.0,1501.0,1497.0,0.0,7200.0,3273.0,1095.0,1122.0,0.0,1916.0,853.0,287.0,286.0,0.0,2258.0,1013.0,346.0,332.0,0.0,74.0,31.0,11.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b52,10412.0,4716.0,1492.0,1469.0,0.0,7583.0,3483.0,1083.0,1088.0,0.0,2011.0,910.0,289.0,284.0,0.0,2357.0,1062.0,339.0,333.0,0.0,81.0,34.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b55,1567.0,1222.0,0.0,3711.0,0.0,929.0,719.0,0.0,2293.0,0.0,283.0,213.0,0.0,645.0,0.0,260.0,205.0,0.0,621.0,0.0,0.0,0.0,0.0,0.0,0.0,841.0,523.0,146.0,143.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b57,1252.0,621.0,304.0,1790.0,0.0,805.0,389.0,196.0,1154.0,0.0,242.0,120.0,59.0,351.0,0.0,279.0,137.0,71.0,395.0,0.0,13.0,5.0,3.0,10.0,0.0,296.0,180.0,55.0,61.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b58,10899.0,6158.0,1488.0,1470.0,0.0,7985.0,4556.0,1084.0,1098.0,0.0,2134.0,1201.0,283.0,284.0,0.0,2496.0,1390.0,343.0,335.0,0.0,82.0,47.0,11.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b5h,10625.0,4543.0,1814.0,1214.0,0.0,7759.0,3318.0,1335.0,899.0,0.0,2054.0,861.0,350.0,234.0,0.0,2418.0,1021.0,415.0,271.0,0.0,80.0,31.0,14.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b5i,10238.0,4804.0,1796.0,1494.0,0.0,7465.0,3531.0,1326.0,1126.0,0.0,1978.0,923.0,344.0,295.0,0.0,2329.0,1077.0,412.0,337.0,0.0,75.0,34.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b5j,10882.0,5106.0,1815.0,1504.0,0.0,7955.0,3763.0,1334.0,1135.0,0.0,2095.0,977.0,347.0,298.0,0.0,2476.0,1154.0,411.0,341.0,0.0,80.0,37.0,14.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b6h,11236.0,5138.0,1523.0,1209.0,0.0,8182.0,3765.0,1108.0,907.0,0.0,2176.0,984.0,295.0,235.0,0.0,2546.0,1147.0,348.0,267.0,0.0,84.0,38.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b6j,14310.0,9207.0,1863.0,2154.0,0.0,8741.0,5666.0,1136.0,1329.0,0.0,2405.0,1569.0,318.0,364.0,0.0,2588.0,1673.0,339.0,395.0,0.0,9.0,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b6k,14373.0,9753.0,1414.0,1799.0,0.0,8797.0,6003.0,867.0,1094.0,0.0,2398.0,1669.0,234.0,301.0,0.0,2589.0,1768.0,257.0,340.0,0.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b6l,12352.0,7872.0,1419.0,1712.0,0.0,7543.0,4879.0,873.0,1051.0,0.0,2077.0,1347.0,247.0,287.0,0.0,2230.0,1475.0,264.0,323.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b7h,11769.0,5430.0,1511.0,1193.0,0.0,8603.0,3971.0,1117.0,903.0,0.0,2279.0,1043.0,288.0,231.0,0.0,2685.0,1216.0,346.0,272.0,0.0,85.0,38.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b8n,4750.0,3417.0,1539.0,1207.0,0.0,3143.0,2248.0,990.0,796.0,0.0,907.0,639.0,280.0,221.0,0.0,924.0,646.0,280.0,230.0,0.0,36.0,23.0,14.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b8o,4410.0,3382.0,1232.0,1207.0,0.0,2935.0,2230.0,796.0,802.0,0.0,852.0,640.0,229.0,220.0,0.0,870.0,648.0,233.0,232.0,0.0,34.0,25.0,12.0,10.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b8y,5064.0,4649.0,463.0,846.0,208.0,3754.0,3418.0,372.0,696.0,168.0,933.0,851.0,87.0,171.0,44.0,973.0,889.0,91.0,174.0,45.0,21.0,19.0,2.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1b9j,11688.0,5371.0,1511.0,1190.0,0.0,8576.0,3954.0,1105.0,895.0,0.0,2251.0,1026.0,283.0,233.0,0.0,2678.0,1210.0,345.0,269.0,0.0,88.0,41.0,11.0,8.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bai,15408.0,9658.0,2464.0,2288.0,0.0,9517.0,6040.0,1526.0,1439.0,0.0,2894.0,1807.0,473.0,420.0,0.0,2908.0,1830.0,465.0,449.0,0.0,21.0,4.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bcd,639.0,348.0,319.0,635.0,328.0,489.0,244.0,240.0,461.0,233.0,131.0,67.0,68.0,129.0,69.0,120.0,63.0,63.0,113.0,57.0,3.0,1.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,1022.0,717.0,201.0,177.0,3.0,0.0,0.0,0.0,0.0,0.0
1bcu,2331.0,2822.0,623.0,0.0,0.0,1683.0,2007.0,437.0,0.0,0.0,460.0,561.0,120.0,0.0,0.0,556.0,660.0,147.0,0.0,0.0,43.0,57.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bdq,11785.0,8573.0,1147.0,1239.0,0.0,7098.0,5205.0,681.0,754.0,0.0,1972.0,1471.0,190.0,205.0,0.0,2086.0,1529.0,201.0,226.0,0.0,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bgq,4375.0,5211.0,0.0,1706.0,0.0,2750.0,3287.0,0.0,1083.0,0.0,701.0,841.0,0.0,279.0,0.0,863.0,1033.0,0.0,326.0,0.0,17.0,20.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1bhf,5733.0,4567.0,600.0,1738.0,0.0,3527.0,2812.0,354.0,1085.0,0.0,1029.0,838.0,112.0,303.0,0.0,937.0,781.0,94.0,307.0,0.0,25.0,21.0,4.0,9.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
