pdbid,value
158,6fnq,4.59
159,6f9g,5.7
160,5fnu,8.89
161,1x39,9.22
162,6jay,5.7
163,3zso,5.12
164,2zcq,8.82
165,1a9q,6.17
166,4bs0,5.7
167,5igm,7.38
168,3jrx,9.0
169,3lq2,5.22
170,2vl4,6.01
171,4av4,7.03
172,6dy7,4.18
173,2zz2,4.54
174,1u1w,5.85
175,6k04,8.04
176,3ps1,10.17
177,2hah,8.0
178,1x8r,6.12
179,3pck,6.7
180,3lka,2.82
181,4tkh,5.74
182,4m0f,8.77
183,1uwf,6.82
184,6qpl,7.04
185,5m17,3.66
186,2qbp,8.4
187,5zg3,7.21
188,4ufi,6.2
189,3v2n,6.1
190,3f37,2.62
191,5nvw,6.77
192,1hlk,5.0
193,5h9r,6.08
194,4u71,5.22
195,3f80,4.22
196,2psu,7.62
197,3rv8,4.92
198,6ncn,3.05
199,4zei,5.88
200,2qwd,4.85
201,3rlb,9.92
202,1f73,2.39
203,6dil,8.12
204,5e2o,8.7
205,3vf7,9.1
206,6n3w,5.81
207,4ggz,10.18
208,5upj,7.12
209,1xgi,4.85
210,4n7u,6.29
211,3o84,7.24
212,2whp,4.0
213,1w4o,5.22
214,6r1d,5.4
215,3g2z,2.36
216,6cn5,7.7
217,1hmt,5.79
218,4ljh,4.71
219,3fed,7.46
220,5w44,6.44
221,4ly9,8.15
222,3sue,9.08
223,5oh4,4.55
224,6g27,3.14
225,3su0,6.79
226,3l0v,7.64
227,1px4,3.23
228,5u0z,6.19
229,6i13,5.12
230,4cst,8.89
231,1x38,8.77
232,6f92,6.4
233,3p3t,7.24
234,5i2f,6.49
235,6ayr,8.39
236,3suf,7.56
237,1g74,6.52
238,4kwo,6.45
239,4tpw,4.69
240,1nja,6.31
241,4i74,6.72
242,4xaq,7.14
243,6d5j,6.34
244,4bqs,4.21
245,2jfz,5.24
246,2xb8,7.59
247,6euw,7.77
248,2y8c,6.4
249,3d52,3.28
250,6jbe,4.7
251,2qi7,10.21
252,2i19,7.8
253,1ws1,9.55
254,4w9i,5.96
255,6g24,2.77
256,2ya6,5.7
257,5jxq,8.15
258,3su3,9.13
259,2vnp,9.92
260,6qlq,4.51
261,1rnm,3.07
262,2nsj,4.79
263,3ekp,8.89
264,3f19,7.19
265,5zg1,7.72
266,2hzl,6.57
267,3f8c,7.68
268,2pwg,4.82
269,5e2p,8.8
270,3djv,4.55
271,4avh,7.23
272,6gfs,6.54
273,3sm2,9.7
274,1tsy,4.96
275,1pvn,9.82
276,4re2,4.98
277,1qbu,10.24
278,4fxp,4.09
279,5yft,5.0
280,1qaw,5.12
281,5d1r,4.84
282,6qgf,6.0
283,1bq4,5.22
284,4b6r,5.85
285,5kh3,4.22
286,1s39,7.7
287,5ka1,4.48
288,4u6w,4.21
289,1fkg,8.0
290,5kax,6.11
291,4y5d,5.92
292,3t0b,4.3
293,4qge,9.3
294,6arm,4.97
295,1lgt,6.1
296,5tbm,7.31
297,3dx2,6.82
298,6f90,6.0
299,4l19,6.1
300,4oc3,8.28
301,4f6w,7.52
302,5m7u,8.1
303,4iif,5.18
304,3td4,5.66
305,4z07,7.99
306,5evb,5.0
307,5kqy,9.29
308,1li2,4.04
309,1elc,6.66
310,1fkw,5.05
311,2r38,7.44
312,4n9c,3.9
313,5z66,6.69
314,2bz6,7.09
315,4qfo,4.27
316,6d5h,6.92
317,2h4g,6.52
318,1v48,7.8
319,3k37,8.92
320,6c85,3.9
321,3f6g,4.72
322,3alt,2.92
323,3mjl,2.44
324,1tcx,6.95
325,3vf5,9.34
326,3mxd,8.83
327,1pgp,5.7
328,3sug,6.21
329,6haz,7.0
330,3c2r,3.11
331,1ecv,4.85
332,3pgu,6.7
333,6t1j,4.74
334,2vrj,6.3
335,4dzy,5.62
336,4x5z,7.63
337,4x8u,2.46
338,5e74,4.41
339,5lli,7.05
340,3sfg,6.06
341,4yzu,5.05
342,5yum,3.65
343,3b7j,5.17
344,4uye,8.02
345,3ejq,8.57
346,2gvj,9.52
347,6d17,4.82
348,4b5t,3.33
349,5b5f,5.25
350,2cex,4.7
351,4lm1,3.23
352,6jag,4.5
353,3r6u,4.52
354,6e1z,3.82
355,2zwz,7.79
356,1det,4.3
357,3n7a,3.7
358,3zj6,6.66
359,6dh8,9.84
360,3gc4,7.6
361,2uxi,7.3
362,2ovv,7.92
363,1os5,6.85
364,3nx7,8.1
365,3t2w,7.46
366,4cd4,6.58
367,2qci,8.34
368,2x0y,4.6
369,6d9x,3.49
370,3fql,7.15
371,2i4z,5.7
372,5yjm,7.68
373,4ih7,5.24
374,4dkq,6.6
375,1lbk,3.18
376,3acw,4.76
377,3gst,6.72
378,5upe,8.05
379,1v11,3.98
380,3ao4,2.07
381,4iie,2.34
382,6ajr,4.31
383,4fai,6.99
384,4r3w,3.0
385,3f33,3.34
386,3u90,4.62
387,6udv,10.29
388,5wa8,6.23
389,1hpv,9.22
390,5ueu,7.78
391,3kdd,8.46
392,4lko,8.22
393,5nap,7.95
394,1lgw,4.0
395,4y0a,2.31
396,4tun,5.41
397,3v3q,6.6
398,1uz4,3.4
399,6dz0,9.03
400,2xd9,6.46
401,3f17,8.63
402,6s4n,6.79
403,4cc5,4.42
404,6cbf,5.17
405,4np3,3.3
406,3x00,9.08
407,2ovy,8.4
408,5g1z,5.32
409,4b73,7.21
410,4zyf,8.64
411,2gst,6.07
412,3pb8,5.24
413,6ays,9.19
414,2r9w,5.1
415,5a5q,4.68
416,5mro,5.7
417,1ogx,6.09
418,1li6,3.8
419,3sww,8.4
420,6mg5,4.69
421,5jgi,4.3
422,3pb9,6.58
423,4djq,10.32
424,3mf5,5.36
425,2f2h,5.7
426,6qqq,5.17
427,5yfs,4.86
428,2cet,8.02
429,3mfv,2.52
430,2q7q,5.3
431,5d2r,5.82
432,2qnq,6.11
433,2wbg,4.45
434,5t19,4.49
435,4b5s,3.49
436,1pbq,6.27
437,6nzv,10.17
438,6j0o,4.92
439,1no6,4.41
440,5k1f,4.79
441,3ip9,5.62
442,3pbb,7.02
443,5wuk,7.85
444,2x91,6.74
445,2cle,3.55
446,6ayi,6.68
447,5edb,7.0
448,6fhu,2.64
449,1v1j,4.82
450,1hi3,4.19
451,3d50,4.77
452,1igb,6.4
453,4bt3,3.12
454,1bp0,5.4
455,6iez,6.52
456,5kr1,9.49
457,5edl,8.35
458,6n7b,9.22
459,2d3u,6.92
460,2j7b,6.62
461,6d1g,4.47
462,1kav,5.82
463,3ocp,7.57
464,3g35,4.68
465,6b1k,6.67
466,1q1g,8.57
467,6r18,4.92
468,3ovn,2.55
469,1q91,4.15
470,5ot9,4.07
471,2flr,6.1
472,4xtv,9.27
473,3ddf,4.66
474,3qbc,4.97
475,5oht,6.02
476,4kn1,6.84
477,6ej2,7.8
478,3gk1,4.1
479,6hlx,7.17
480,4o0y,7.22
481,5dey,8.43
482,6ayo,8.29
483,6dyy,10.55
484,1e66,9.89
485,2wvt,6.12
486,3ddg,6.0
487,4ayp,6.12
488,6ny0,5.4
489,3hcm,3.3
490,5evk,4.92
491,2jgs,6.62
492,6n79,9.68
493,5ufp,7.37
494,1uwu,5.98
495,1e3v,4.34
496,4lzs,4.8
497,4gqq,2.89
498,1m0o,2.31
499,4hla,10.8
500,5n0f,6.05
501,1ctu,11.92
502,1c83,4.85
503,1xbo,6.04
504,3fvl,6.07
505,4cra,7.22
506,4x8v,6.89
507,3hkw,8.64
508,4cd5,6.71
509,3veh,4.96
510,1hms,6.37
511,4pvx,6.76
512,3fur,8.0
513,4tu4,3.76
514,2mas,7.52
515,5b25,10.24
516,1ps3,2.28
517,2q89,6.3
518,6e9a,11.92
519,1ai5,3.72
520,4kz6,3.1
521,6cwh,7.54
522,2vwo,7.51
523,5m7s,9.05
524,2pwr,6.59
525,4u8w,11.24
526,4buq,8.14
527,4z0k,6.34
528,3tkw,5.27
529,5wqc,8.96
530,1w4q,5.26
531,5avf,5.49
532,3gdt,7.19
533,3vfa,9.19
534,1f74,3.05
535,4k3h,6.85
536,5fe9,4.68
537,3su4,6.26
538,3pgl,5.3
539,3nyd,3.48
540,4umb,4.0
541,4kyh,5.92
542,2hs1,8.48
543,4luz,4.7
544,6ckr,7.3
545,3ttm,8.52
546,2qnp,6.41
547,6g2f,5.17
548,1o7o,4.49
549,2qbq,7.44
550,1uj5,3.05
551,2v3d,3.94
552,1fm9,9.0
553,2xp7,5.77
554,5fck,8.22
555,6qlr,4.82
556,6d50,5.05
557,5ceq,7.38
558,5u11,5.35
559,3ppq,4.55
560,5l30,9.14
561,3uw5,7.85
562,1moq,3.46
563,4pnu,4.89
564,3dzt,7.22
565,1met,9.4
566,5qqp,8.28
567,4nra,4.19
568,1ajx,7.91
569,2hb1,3.8
570,5bwc,7.21
571,3umq,4.62
572,5tcj,7.38
573,6py0,6.41
574,3bkk,6.08
575,4pqa,5.55
576,1uvt,7.64
577,6rnt,2.37
578,4kif,4.84
579,3zsy,3.23
580,2xda,6.22
581,6j9w,5.13
582,4c52,5.68
583,2r43,6.0
584,1j01,6.47
585,2yfe,6.63
586,3b5r,8.77
587,2fu8,4.7
588,6ftp,5.82
589,5evd,5.0
590,5eq1,4.68
591,4q0k,4.87
592,3nuo,9.8
593,3gvb,2.59
594,1gpn,6.48
595,5u13,5.41
596,1ui0,7.06
597,2xc0,6.72
598,4dhl,4.48
599,4qpd,7.82
600,6dar,6.66
601,4us3,5.32
602,1ado,6.0
603,6nu1,4.51
604,3l4w,6.0
605,6fba,4.7
606,1o5r,8.12
607,2j47,5.41
608,6e1y,7.66
609,5zym,5.77
610,4ea2,6.44
611,5k8s,8.22
612,6qlt,4.04
613,2yz3,6.66
614,3lzs,10.96
615,6ayt,8.85
616,5hz5,7.07
617,6d1b,3.91
618,3w9k,6.32
619,6dz2,8.85
620,4crl,9.71
621,3o75,6.68
622,5v79,6.41
623,2w8j,2.96
624,2ves,7.7
625,5ld8,8.05
626,4kwf,4.82
627,2zy1,7.4
628,4xoc,8.52
629,5d0c,5.63
630,3wz8,5.82
631,6s5k,7.32
632,4g0p,3.01
633,3d8z,3.37
634,2zcr,6.87
635,6pi5,6.96
636,1bjv,5.54
637,4ts1,4.94
638,3cd7,7.84
639,4tte,3.69
640,6e5l,7.18
641,2vb8,4.6
642,1jmf,5.77
643,4f3k,10.16
644,2hjb,4.39
645,6d1d,4.47
646,1rql,2.75
647,5dx4,6.86
648,5bs4,11.0
649,4r0a,4.26
650,5qay,3.23
651,5y13,5.94
652,5ost,4.56
653,1pa9,4.6
654,4aqh,6.54
655,4avi,7.63
656,6i8y,6.74
657,6g2r,9.46
658,4y2q,2.92
659,3bgs,9.42
660,3s0e,6.55
661,4ej8,5.39
662,4kxn,6.1
663,3u9q,4.38
664,4ghi,7.09
665,5om2,4.06
666,3cyw,7.77
667,1b6l,8.3
668,4u0w,3.0
669,4mpn,6.62
670,5ovx,4.5
671,4tjz,5.97
672,3o9e,11.3
673,4xar,6.97
674,4gu6,7.36
675,3rbu,9.43
676,4n5d,3.22
677,5dqf,3.6
678,2uz9,5.71
679,6euc,3.77
680,4mhy,6.47
681,2vw1,3.52
682,6pg3,3.32
683,6b4n,10.55
684,5vo1,8.15
685,4dst,2.96
686,2r9x,4.85
687,1tq4,6.19
688,4ymq,5.8
689,4j45,5.77
690,4og4,6.02
691,4lhm,3.39
692,2sim,3.42
693,6exs,3.44
694,3ok9,11.23
695,6gj6,4.7
696,3sjf,7.64
697,4zae,8.44
698,3fx6,6.8
699,3f78,3.1
700,5my8,7.14
701,2vjx,4.96
702,2qi5,10.85
703,3ggu,9.77
704,4k7o,4.3
705,6ge7,6.06
706,4i71,7.74
707,3vw1,4.67
708,5ohy,5.17
709,1lbf,7.85
710,4ual,8.4
711,1xap,8.7
712,3zsq,4.96
713,4q4p,6.39
714,5j7q,4.58
715,2yel,7.28
716,3p8o,8.72
717,4dfg,11.74
718,5hvs,7.15
719,3hky,7.1
720,4urz,2.52
721,2cbv,5.48
722,2jjb,7.92
723,5dbm,6.46
724,2o4l,9.22
725,3wz6,5.96
726,2xc4,8.05
727,6udi,10.0
728,3uev,5.89
729,3nzk,9.27
730,6hgi,6.22
731,1c86,4.7
732,5d45,6.92
733,4wkn,9.72
734,3ttp,9.12
735,5epn,8.66
736,1wcq,6.26
737,6p88,4.52
738,6qqv,4.92
739,5kr0,9.15
740,5f08,5.52
741,5ih9,8.7
742,1kzk,10.39
743,3zm9,7.42
744,1g98,5.7
745,3d4z,4.89
746,2a4m,4.52
747,3u5l,6.19
748,1cbx,6.35
749,6d1k,3.13
750,4ceb,2.97
751,3rf5,5.63
752,4o0x,7.17
753,5d47,7.0
754,5n17,5.32
755,1nhu,5.66
756,3ehy,5.85
757,6g25,3.52
758,3nht,7.01
759,3gi4,10.8
760,6qqu,5.3
761,3spf,3.86
762,4rsk,4.32
763,5t8p,5.89
764,3b3x,3.6
765,1wc1,4.0
766,1oba,2.44
767,4bkt,3.62
768,4pv5,6.54
769,6dyv,10.59
770,3kdb,9.85
771,1mes,7.7
772,3f15,8.1
773,3st5,11.3
774,5oei,5.8
775,2oi2,6.3
776,1a99,5.7
777,1jvu,5.15
778,4ibf,4.43
779,2y82,8.4
780,4y4j,2.47
781,2reg,5.64
782,2zmm,7.6
783,6ced,5.82
784,6upj,6.32
785,5edd,5.24
786,1pzp,3.31
787,1o0f,5.3
788,6r0v,4.96
789,3e3c,5.62
790,4q9o,5.77
791,4wko,9.47
792,3s54,9.64
793,4eb8,9.82
794,4whs,4.12
795,3p3r,7.25
796,2zz1,4.54
797,2qi6,10.57
798,2rkm,3.9
799,3gta,4.28
800,3k8o,11.07
801,6d16,5.08
802,3djq,2.98
803,2w8w,2.12
804,3vd4,4.82
805,6iht,5.21
806,6p8a,3.59
807,3cd5,7.9
808,3own,7.47
809,6d55,7.36
810,2gj5,8.32
811,1k4g,5.85
812,3ppp,5.22
813,3nox,8.66
814,5nn6,5.52
815,4bqh,5.59
816,6oqb,10.3
817,1yqy,7.62
818,1rpf,3.99
819,2i0a,11.4
820,3f34,3.16
821,6fo5,6.72
822,4lm3,2.92
823,1a30,4.3
824,2qbr,6.33
825,4wrb,6.19
826,6nyv,6.51
827,4yc0,4.13
828,3g2y,2.0
829,3b92,8.0
830,3pwk,3.35
831,4i7m,4.14
832,2oym,5.0
833,5dh5,9.64
834,5qa8,3.77
835,1l83,3.4
836,2vo4,4.94
837,3o5x,5.28
838,2gz2,5.22
839,1rmz,8.0
840,6qr1,5.07
841,6j0g,5.64
842,4kqp,6.05
843,1k9s,6.52
844,4dkp,5.72
845,4jxs,4.74
846,3n2v,7.51
847,2bt9,6.19
848,5mgk,4.0
849,4l9i,4.89
850,1mrx,7.26
851,5cy9,6.66
852,2ri9,3.22
853,5lne,4.76
854,5hrw,5.48
855,5zyl,7.06
856,2pqz,5.67
857,6p3v,7.02
858,1bdq,6.34
859,5ufr,8.7
860,1iy7,6.19
861,6dh7,9.88
862,1v1m,3.94
863,1wdn,6.3
864,4bc5,4.6
865,5gj9,4.99
866,4w9c,4.65
867,1n46,10.52
868,1ie9,10.19
869,4xmr,4.07
870,3k8q,11.28
871,5d0r,6.37
872,3kmc,6.4
873,5vh0,4.52
874,4i8n,4.46
875,5fe7,3.31
876,5fsc,2.36
877,5y12,6.23
878,4yrd,4.57
879,4gr8,7.83
880,6ep4,5.35
881,5vp9,8.99
882,6r1a,4.35
883,3wzn,7.0
884,5c28,5.66
885,185l,3.54
886,2r3t,5.85
887,4b6p,7.13
888,6nco,4.52
889,1cet,2.89
890,5eyr,5.3
891,5g5f,5.28
892,4leq,6.54
893,4ra1,5.94
894,3th9,7.7
895,3usx,5.02
896,5ehv,3.08
897,2ceq,7.28
898,3el5,7.72
899,2i4j,6.16
900,186l,4.85
901,5zg0,7.09
902,5ovr,4.57
903,5mby,3.51
904,2wc3,6.08
905,1kmy,5.1
906,2glp,5.01
907,2za0,6.64
908,1c84,5.0
909,4s1g,9.22
910,5var,4.09
911,5otc,4.71
912,1fcy,8.52
913,2zcs,8.22
914,5h1t,3.8
915,3w5n,3.87
916,6e5t,6.55
917,1uz1,6.89
918,6dpy,4.1
919,6e23,10.0
920,3m3z,5.73
921,4ai5,2.92
922,3nq9,4.03
923,5cep,6.84
924,6o0o,7.44
925,6n78,9.68
926,4wov,7.14
927,1yq7,7.09
928,2yb0,3.85
929,4ipi,5.32
930,6dif,10.72
931,4q1x,11.15
932,6pg5,4.96
933,1eld,6.7
934,4ibd,3.67
935,1add,6.74
936,2aac,2.22
937,3pwm,9.1
938,4i7k,3.04
939,2f9k,7.07
940,6ma2,5.39
941,6p85,4.99
942,4fht,6.17
943,2o8h,7.6
944,3g3r,6.48
945,1qk4,4.21
946,6ht1,7.11
947,3cj4,6.51
948,4a95,5.76
949,5x74,8.64
950,4sga,7.3
951,4e9u,5.82
952,5nw1,6.6
953,4p5d,5.82
954,1njc,5.55
955,4kz4,4.15
956,3f16,8.23
957,3g30,2.51
958,2aj8,6.2
959,1m2x,4.15
960,3uxd,4.41
961,5exn,7.64
962,3i6o,10.35
963,3t1m,3.04
964,5fog,3.67
965,6fa4,7.29
966,6a87,3.15
967,2buv,4.0
968,3f3c,6.02
969,5edc,7.66
970,2j7e,7.32
971,4c6u,4.59
972,5kej,5.11
973,4cfl,5.88
974,5dnu,4.11
975,2yek,7.21
976,3cm2,6.47
977,6epa,5.95
978,5od1,5.96
979,4k7i,2.82
980,2ot1,4.0
981,3p8p,4.55
982,1hwr,8.33
983,1e6q,3.15
984,5jfu,8.07
985,4cig,3.67
986,1d7i,3.6
987,2y5f,8.7
988,2qzr,7.26
989,5a81,5.54
990,3b67,8.85
991,4crb,7.57
992,6pi6,5.66
993,6dak,5.14
994,5lsg,5.4
995,1rr6,10.25
996,5eqp,5.4
997,3lk8,7.71
998,1jys,3.52
999,4ovf,4.13
1000,1dmp,9.55
1001,6t1o,5.59
1002,6mll,3.62
1003,1ndz,8.11
1004,2pyn,7.57
1005,2i3i,7.3
1006,4pvy,6.71
1007,2ogy,4.48
1008,3t0x,8.0
1009,4iuo,3.64
1010,2jdm,5.4
1011,5j1r,4.66
1012,6jaw,5.66
1013,1bzc,4.92
1014,6dyz,9.2
1015,2qtn,3.42
1016,4bcs,6.99
1017,6ezq,4.66
1018,4ciw,4.82
1019,6e22,8.89
1020,1kui,3.77
1021,5jhb,6.06
1022,6oqc,10.4
1023,3zqe,4.23
1024,5uf0,3.8
1025,5om7,5.74
1026,6n5x,4.6
1027,3t64,6.7
1028,6eqp,5.96
1029,6h8s,4.42
1030,6pg7,4.66
1031,1ws4,3.0
1032,2gvv,3.9
1033,3jdw,3.6
1034,6ooy,4.66
1035,5mz8,2.31
1036,6ce6,5.1
1037,4l50,6.06
1038,6ios,4.1
1039,6g2b,3.8
1040,4zt8,4.39
1041,2a5c,4.62
1042,4gq4,7.66
1043,6gvf,7.55
1044,5nvv,6.7
1045,3hp9,4.59
1046,4mjp,3.88
1047,4rpo,7.64
1048,2x09,3.76
1049,3v78,5.54
1050,3bgb,6.05
1051,6jaq,3.95
1052,6t1l,4.77
1053,2j7h,7.19
1054,2i4u,11.57
1055,4oc0,6.5
1056,1f4g,6.48
1057,1w96,8.41
1058,5ioz,4.96
1059,2zx7,10.49
1060,6eux,5.92
1061,6dpt,7.11
1062,4lov,7.77
1063,1f4e,2.96
1064,6nv7,7.92
1065,4n7m,5.47
1066,4l4z,5.68
1067,4xt2,7.15
1068,4jym,5.04
1069,6d1j,4.25
1070,4jfs,5.27
1071,6qi4,4.37
1072,4n9a,4.19
1073,5elw,7.85
1074,4h81,5.12
1075,4r4t,6.26
1076,3vw2,4.75
1077,2vwl,7.02
1078,2pym,6.82
1079,2qwc,3.55
1080,6gwr,8.1
1081,3i3b,2.23
1082,4de1,5.96
1083,2v2v,4.07
1084,5yhg,6.02
1085,4i7p,3.5
1086,4ysl,5.8
1087,3f7i,7.34
1088,6nv9,8.19
1089,5vsf,7.03
1090,3dk1,9.74
1091,2fqw,6.68
1092,2q64,8.52
1093,2v00,3.66
1094,4phu,7.92
1095,2pwc,6.57
1096,2ces,7.25
1097,3ewc,7.7
1098,5yl2,4.5
1099,1rnt,5.19
1100,4hdp,7.51
1101,6aro,5.15
1102,2i4d,11.68
1103,4xas,6.59
1104,2z4o,9.57
1105,2vot,7.14
1106,1br6,3.22
1107,6gue,8.4
1108,6dyr,3.66
1109,5iyy,4.77
1110,5kab,4.68
1111,4euo,5.05
1112,4ll3,11.57
1113,6jtc,5.07
1114,3g1v,3.19
1115,6ouv,5.55
1116,3zln,8.47
1117,2h6b,5.39
1118,5wl0,9.17
1119,4d4d,5.96
1120,6szp,4.74
1121,3dx1,3.58
1122,6as8,7.05
1123,2wc4,5.29
1124,2v54,4.6
1125,3pfp,6.44
1126,1hpx,11.26
1127,2qhy,7.48
1128,4dko,6.52
1129,1w3k,4.3
1130,4i7j,3.32
1131,3b68,8.4
1132,1mrw,9.7
1133,4fp1,4.57
1134,5tcy,7.66
1135,6ghj,2.16
1136,1ndv,5.92
1137,4g90,4.51
1138,6pgc,5.35
1139,6cdl,10.92
1140,3c2f,2.0
1141,3hb4,9.05
1142,2xbx,7.82
1143,3tb6,5.08
1144,2f81,10.52
1145,3tfu,3.28
1146,5nw0,6.52
1147,4cg9,6.21
1148,1oe8,5.52
1149,3hk1,6.17
1150,6hpw,6.09
1151,5kbe,6.34
1152,6efj,3.32
1153,5lz4,5.7
1154,3g19,6.67
1155,6mnc,5.8
1156,6cbg,3.95
1157,3lpl,5.62
1158,5f8y,4.24
1159,2y7z,8.7
1160,4ffs,10.44
1161,5er4,2.76
1162,4lk7,5.04
1163,188l,3.33
1164,2x8z,7.96
1165,1sbg,7.74
1166,1vyf,8.05
1167,6qr9,6.72
1168,6jb0,7.24
1169,6fuj,4.3
1170,4ad6,4.78
1171,4mme,6.5
1172,3tz0,5.04
1173,3re4,7.4
1174,3aid,6.86
1175,5khm,8.3
1176,3uex,6.92
1177,3rdq,9.31
1178,3r1v,6.92
1179,2c97,6.14
1180,6d19,6.61
1181,4mrg,2.96
1182,4cgi,3.12
1183,1lvu,5.32
1184,4j47,4.92
1185,6otg,7.5
1186,1k4h,5.11
1187,6eol,7.43
1188,1tjp,4.42
1189,1elb,7.15
1190,4l4v,5.78
1191,6kjd,5.05
1192,2vvv,8.22
1193,1vyg,8.0
1194,6cdj,11.7
1195,4asj,7.55
1196,6r13,4.7
1197,4cr9,4.1
1198,3zdv,5.48
1199,4ibc,2.98
1200,5etb,4.54
1201,2ha3,3.03
1202,4y3y,2.35
1203,6gxg,5.24
1204,5fol,3.67
1205,5sym,6.55
1206,4ck3,3.57
1207,6e7j,9.48
1208,1fh8,6.89
1209,4bks,3.82
1210,5ko1,6.64
1211,6b7a,4.49
1212,1zc9,3.22
1213,6nxz,5.46
1214,1o0m,5.15
1215,2wyf,4.43
1216,4rpn,6.96
1217,3vvy,4.84
1218,1kug,3.8
1219,3exh,4.88
1220,1gfy,5.08
1221,6plf,6.67
1222,2p3i,3.48
1223,5hva,7.07
1224,6gf9,6.39
1225,1mq6,11.15
1226,3dyo,2.3
1227,5g46,2.6
1228,2v58,9.09
1229,6g2e,5.01
1230,3ehx,7.6
1231,2vuk,3.9
1232,5ha1,7.19
1233,2wk6,3.32
1234,4trc,4.52
1235,4crf,9.3
1236,4cjr,3.1
1237,2vmd,3.02
1238,3tay,3.38
1239,4b6s,6.01
1240,3ppm,9.54
1241,4llj,3.42
1242,5kad,4.43
1243,4fnn,7.57
1244,4u69,4.26
1245,4m6u,2.74
1246,3kdc,9.28
1247,1r5y,6.46
1248,3ikg,7.24
1249,1w3j,6.32
1250,6chp,10.12
1251,2hxm,5.22
1252,3g31,2.89
1253,4ury,2.22
1254,3lvw,2.67
1255,1qxl,7.96
1256,3su2,7.35
1257,4j46,5.28
1258,1grp,3.72
1259,3qaa,11.54
1260,3g0i,3.6
1261,2j7f,6.35
1262,2ole,7.25
1263,3ljz,8.14
1264,4w9j,6.23
1265,5ov8,4.74
1266,1onz,5.1
1267,1nwl,2.39
1268,6d56,8.05
1269,6gfz,5.51
1270,2fzc,2.7
1271,4de2,4.12
1272,4cjq,3.59
1273,5f0f,6.0
1274,4jkw,4.16
1275,1bma,4.59
1276,4b0b,3.33
1277,5his,4.71
1278,1x8d,2.21
1279,4hws,9.1
1280,3oyw,4.11
1281,5upf,8.6
